area,status,bhk,bathroom,age,location,builder,price
872,Ready to move,2,,1,Sembakkam,MP Developers,3749000
1346,Under Construction,3,2,,Selaiyur,DAC Promoters,9354000
2225,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited,15100000
1028,Ready to move,2,2,3,Ambattur,Dugar Housing Builders,4900000
588,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers India Ltd,4228000
2221,Under Construction,3,3,0,Virugambakkam,Traventure Homes Pvt Ltd,18800000
885,Under Construction,3,,0,Thirumazhisai,Urbanrise,3800000
936,Ready to move,3,,6,Moolakadai,Navin Housing Properties P LTD,7299000
2275,Ready to move,4,,1,Ottiyambakkam,Jones foundation private limited,12500000
622,Under Construction,2,,0,Perungalathur,Isha Homes,2456000
1305,Under Construction,3,,0,Gerugambakkam,Kochar Homes Pvt Ltd,6787000
1500,Ready to move,3,3,1,Anna Nagar,Pushkar Properties Pvt Ltd,24000000
2200,Under Construction,3,,0,Gopalapuram,Pushkar Properties Pvt Ltd,40700000
919,Under Construction,2,,0,Pammal,Asset Tree Homes,5146000
965,Under Construction,2,,0,Porur,Urban Tree Infrastructures,6947000
2343,Ready to move,4,4,5,Navallur,Olympia Group,11300000
353,Under Construction,1,,0,Thirumazhisai,Vijay Raja Homes Private Limited,1800000
1450,Under Construction,3,,0,Anna Nagar,Kamalam Builder Pvt Ltd,22400000
1833,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate,10000000
920,Under Construction,2,,0,Vanagaram,VNR Homes,4599000
1405,Under Construction,3,,0,Sholinganallur,PS Srijan Developers,7375000
2601,Under Construction,4,,0,T Nagar,Lifestyle Housing,45500000
2475,Under Construction,4,,0,Guindy,Puravankara Limited,39100000
1242,Under Construction,2,,0,Madipakkam,Jones Foundations,8073000
969,Ready to move,2,,1,Perumbakkam,Plaza Group,3196000
937,Under Construction,2,,0,Velachery,Urbando Housing LLP,8130000
1310,Under Construction,3,,0,Medavakkam,EK Realtors,7205000
1340,Ready to move,3,,2,Gowrivakkam,The Nest Builder,9136000
1045,Ready to move,2,2,1,Chromepet,Doshi Housing,5076000
1004,Under Construction,2,,0,Sholinganallur,Grandstyle constructions,6275000
920,Under Construction,2,1,0,Ambattur,vinoth builders,5750000
1005,Ready to move,2,,1,Thalambur,GTK Foundations,5022000
713,Under Construction,2,,0,Thandalam,Baashyaam Group,2236000
900,Ready to move,2,,1,Thirumazhisai,chris,1980000
1325,Under Construction,2,,0,Medavakkam,Krishna Constructions,8413000
1113,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd,5843000
3670,Ready to move,3,,3,Kanathur Reddikuppam,Mayances Construction and Engineering Services,33000000
1208,Ready to move,2,,4,Madipakkam,Ramaniyam Real Estate Builders,8032000
1600,Under Construction,3,,0,Adyar,India Builders Limited,29000000
870,Ready to move,2,,3,Kolapakkam,Ram,4002000
1275,Under Construction,3,,0,Thaiyur,Shatapatri Estates Pvt Ltd,4207000
884,Ready to move,2,,1,Thoraipakkam OMR,Shri Raman Developers,4861000
1092,Under Construction,2,,0,Poonamallee,Sri Hari Developers,4912000
